,it,it_time,total_time,total_area,energy,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
302,302,0.01693558692932129,4.512197732925415,163386.9674289165,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-2.809656555380676,0.36577010203067717,4.439203104952702,-8.624465044396247,-6.658969447502237,0.22880497875220351,0.8366427571096597,-10.272516423593977,-5.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,9.579104721067996,5.3097641645902005,-3.049346540334615,4.338365041741041
303,303,0.014513969421386719,4.526711702346802,163083.87508501834,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-2.809656555380676,0.36577010203067717,4.439203104952702,-8.624465044396247,-6.658969447502237,0.22880497875220351,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,9.579104721067996,5.3097641645902005,-3.049346540334615,4.338365041741041
304,304,0.015004158020019531,4.541715860366821,162573.75565809265,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-2.809656555380676,0.36577010203067717,4.939203104952702,-9.490490448180687,-6.658969447502237,0.22880497875220351,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,9.579104721067996,5.3097641645902005,-3.049346540334615,4.338365041741041
305,305,0.015005826950073242,4.5567216873168945,162707.7164931099,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-2.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.658969447502237,0.22880497875220351,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,9.579104721067996,5.3097641645902005,-3.049346540334615,4.338365041741041
306,306,0.025394201278686523,4.582115888595581,162779.312016556,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-2.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.658969447502237,0.22880497875220351,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-3.049346540334615,4.338365041741041
307,307,0.015000104904174805,4.597115993499756,162896.01040263267,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-2.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-3.049346540334615,4.338365041741041
308,308,0.02404046058654785,4.621156454086304,163274.6702872742,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-2.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-2.5493465403346156,3.4723396379566025
309,309,0.02718329429626465,4.648339748382568,163430.0136924276,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.102673970449903,-2.0658082358447976,-1.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-2.5493465403346156,3.4723396379566025
310,310,0.015156745910644531,4.663496494293213,163299.70209428298,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.602673970449903,-1.1997828320603592,-1.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,10.991601174761023,-5.869939541329769,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-2.5493465403346156,3.4723396379566025
311,311,0.013252496719360352,4.676748991012573,163197.7704096649,0.0,6.792157037902992,-1.3976045862516473,3.4362139523172166,9.32075580895769,5.602673970449903,-1.1997828320603592,-1.3096565553806765,-0.5002553017537616,4.939203104952702,-9.490490448180687,-6.158969447502237,1.0948303825366419,0.8366427571096597,-10.272516423593977,-6.118810571875038,9.316427800833123,-5.947722231534566,-1.3847538144441274,1.6971390369203894,-5.719702057926638,11.491601174761023,-5.003914137545331,-12.748389898909835,-1.7298002833871515,7.512924319870541,-6.359704317631771,10.079104721067996,4.443738760805761,-2.5493465403346156,3.4723396379566025
