,it,it_time,total_time,total_area,sat_0_x,sat_0_y,sat_1_x,sat_1_y,sat_2_x,sat_2_y,sat_3_x,sat_3_y,sat_4_x,sat_4_y,sat_5_x,sat_5_y,sat_6_x,sat_6_y,sat_7_x,sat_7_y,sat_8_x,sat_8_y,sat_9_x,sat_9_y,sat_10_x,sat_10_y,sat_11_x,sat_11_y,sat_12_x,sat_12_y,sat_13_x,sat_13_y,sat_14_x,sat_14_y
911,911,0.0,2.598600149154663,3128.8866263782,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935,63.292157037902996,-12.65593483544935
912,912,0.011061429977416992,2.60966157913208,3115.708464499872,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379
913,913,0.0,2.60966157913208,2939.5653374523827,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379
914,914,0.0,2.60966157913208,3009.9587361947597,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823,63.292157037902996,-14.38798564301823
915,915,0.015634775161743164,2.6252963542938232,3060.1306141696914,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823
916,916,0.0,2.6252963542938232,3023.7745196336837,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823
917,917,0.0,2.6252963542938232,3034.0074203588447,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823,64.292157037903,-14.38798564301823
918,918,0.0,2.6252963542938232,3125.906107475017,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379,63.792157037902996,-13.52196023923379
919,919,0.0,2.6252963542938232,3011.203026481231,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379
920,920,0.0,2.6252963542938232,2999.642740367981,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379,64.792157037903,-13.52196023923379
